City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
273,Adre,TD,84.76,clear sky,13.47,22.2,
276,Don Sak,TH,90.0,light rain,9.32,99.69,Sea Sun Moon Hostel
277,Buraydah,SA,77.0,clear sky,26.33,43.98,Mövenpick Hotel Qassim
280,Kahului,US,80.6,clear sky,20.89,-156.47,Maui Seaside Hotel
282,Karratha,AU,80.33,light rain,-20.74,116.85,ibis Styles Karratha
284,Sola,VU,79.77,overcast clouds,-13.88,167.55,Ulkel Guest House
286,Atambua,ID,82.51,light rain,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
291,Gat,IL,82.99,clear sky,31.61,34.76,OlusHome
292,Paka,MY,86.0,few clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
293,Luanda,AO,75.2,overcast clouds,-8.84,13.23,EPIC SANA Luanda
295,Gushikawa,JP,80.6,clear sky,26.35,127.87,Kirari Guest House
296,Boende,CD,82.9,scattered clouds,-0.22,20.87,
299,Ugoofaaru,MV,83.8,clear sky,5.67,73.0,Ungoofaaru Inn
300,Elmina,GH,80.01,scattered clouds,5.09,-1.35,Esteem Kofi and Adjoa Guesthouse
304,Tahta,EG,80.6,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
311,Riyadh,SA,82.4,clear sky,24.69,46.72,InterContinental Riyadh
313,Contai,IN,85.33,clear sky,21.78,87.75,Hotel Hindusthan
314,Luau,AO,82.69,broken clouds,-10.71,22.22,Kimbo Hotel
318,Punto Fijo,VE,80.96,broken clouds,11.7,-70.2,Santa Fe Inn Hotel
320,Phalaborwa,ZA,84.43,few clouds,-23.94,31.14,Bothabelo B&B
321,Makakilo City,US,78.8,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
322,Dehloran,IR,87.71,clear sky,32.69,47.27,مسافرخانه قدس(عبدالله خداکرمی)
323,Kidal,ML,81.77,clear sky,18.44,1.41,
325,Sal Rei,CV,78.8,broken clouds,16.18,-22.92,Marine Club Beach Resort
328,Lucea,JM,77.0,few clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
332,Mount Isa,AU,86.0,scattered clouds,-20.73,139.5,ibis Styles Mt Isa Verona
